Metric,Value,Notes
Organization Name,Alphabet Inc.,Parent company of Google
Ticker Symbol,GOOGL / GOOG,Traded on NASDAQ
Headquarters,"Mountain View, California, US",The Googleplex campus
Founded,September 4 1998,Founded by Larry Page and Sergey Brin
CEO,Sundar Pichai,Chief Executive Officer of Alphabet and Google
Total Employee Count,194668,As of Q1 March 2026 reports
Annual Revenue (2025),$403 Billion,Exceeded $400B for the first time
Net Income (2025),$132 Billion,Total annual net profit
Primary Core Subsidiaries,"Google, Waymo, Google DeepMind, Google Fiber, Verily",Key divisions under Alphabet
Core Products,"Google Search, Android, YouTube, Google Cloud, Gemini AI",Primary consumer and enterprise engines